genus,species,taxid,method
Cronobacter,condimenti,1163710,automatic
Cronobacter,dublinensis,413497,automatic
Cronobacter,malonaticus,413503,automatic
Cronobacter,muytjensii,413501,automatic
Cronobacter,sakazakii,28141,automatic
Cronobacter,turicensis,413502,automatic
Cronobacter,universalis,535744,automatic
Cupriavidus,metallidurans,119219,automatic
Cupriavidus,necator,106590,automatic
Cupriavidus,taiwanensis,164546,automatic
Curtobacterium,flaccumfaciens,2035,automatic
Curtobacterium,oceanosedimentum,465820,automatic
Dehalococcoides,mccartyi,61435,automatic
Deinococcus,radiodurans,1299,automatic
Deinococcus,wulumuqiensis,980427,automatic
Dermabacter,hominis,36740,automatic
Desulfitobacterium,hafniense,49338,automatic
Desulfotomaculum,nigrificans,1565,automatic
Desulfovibrio,africanus,873,automatic
Desulfovibrio,alaskensis,58180,automatic
Desulfovibrio,gigas,879,automatic
Desulfovibrio,hydrothermalis,191026,automatic
Desulfovibrio,vulgaris,881,automatic
Dialister,micraerophilus,309120,automatic
Dichelobacter,nodosus,870,automatic
Dickeya,chrysanthemi,556,automatic
Dickeya,dadantii,204038,automatic
Dickeya,dianthicola,204039,automatic
Dickeya,solani,1089444,automatic
Dickeya,zeae,204042,automatic
Dietzia,cinnamea,321318,automatic
Dolichospermum,circinale,109265,automatic
Dorea,formicigenerans,39486,automatic
Dyella,japonica,231455,automatic
Dysgonomonas,mossii,163665,automatic
Edwardsiella,anguillarum,1821960,automatic
Edwardsiella,ictaluri,67780,automatic
Edwardsiella,tarda,636,automatic
Eggerthella,lenta,84112,automatic
Eggerthia,catenaformis,31973,automatic
Ehrlichia,chaffeensis,945,automatic
Ehrlichia,muris,35795,automatic
Ehrlichia,ruminantium,779,automatic
Eikenella,corrodens,539,automatic
Elizabethkingia,anophelis,1117645,automatic
Elizabethkingia,meningoseptica,238,automatic
Endozoicomonas,elysicola,305900,automatic
Endozoicomonas,montiporae,1027273,automatic
Enhydrobacter,aerosaccus,225324,automatic
Enterobacter,asburiae,61645,automatic
Enterobacter,cancerogenus,69218,automatic
Enterobacter,cloacae,550,automatic
Enterobacter,hormaechei,158836,automatic
Enterobacter,ludwigii,299767,automatic
Enterobacter,xiangfangensis,1296536,automatic
Enterococcus,asini,57732,automatic
Enterococcus,avium,33945,automatic
Enterococcus,caccae,317735,automatic
Enterococcus,casseliflavus,37734,automatic
Enterococcus,cecorum,44008,automatic
Enterococcus,columbae,1355,automatic
Enterococcus,dispar,44009,automatic
Enterococcus,durans,53345,automatic
Enterococcus,faecalis,1351,automatic
Enterococcus,faecium,1352,automatic
Enterococcus,gallinarum,1353,automatic
Enterococcus,gilvus,160453,automatic
Enterococcus,haemoperoxidus,155618,automatic
Enterococcus,hirae,1354,automatic
Enterococcus,malodoratus,71451,automatic
Enterococcus,moraviensis,155617,automatic
Enterococcus,mundtii,53346,automatic
Enterococcus,pallens,160454,automatic
Enterococcus,phoeniculicola,154621,automatic
Enterococcus,raffinosus,71452,automatic
Enterococcus,saccharolyticus,41997,automatic
Enterococcus,sulfureus,1356,automatic
Enterococcus,villorum,112904,automatic
Enterovibrio,calviensis,91359,automatic
Enterovibrio,norvegicus,188144,automatic
Eremococcus,coleocola,88132,automatic
Erwinia,amylovora,552,automatic
Erwinia,billingiae,182337,automatic
Erwinia,iniecta,1560201,automatic
Erwinia,pyrifoliae,79967,automatic
Erwinia,tracheiphila,65700,automatic
Erysipelatoclostridium,[Clostridium] innocuum,1522,automatic
Erysipelothrix,rhusiopathiae,1648,automatic
Erythrobacter,marinus,874156,automatic
Escherichia,albertii,208962,automatic
Escherichia,coli,562,automatic
Escherichia,fergusonii,564,automatic
Exiguobacterium,antarcticum,132920,automatic
Exiguobacterium,pavilionensis,1385984,automatic
Exiguobacterium,undae,169177,automatic
Facklamia,hominis,178214,automatic
Faecalitalea,cylindroides,39483,automatic
Ferrimicrobium,acidiphilum,121039,automatic
Fibrobacter,succinogenes,833,automatic
Filomicrobium,marinum,1608628,automatic
Finegoldia,magna,1260,automatic
Flavobacterium,cauense,510946,automatic
Flavobacterium,enshiense,1341165,automatic
Flavobacterium,psychrophilum,96345,automatic
Flavobacterium,rivuli,498301,automatic
Flavobacterium,subsaxonicum,426226,automatic
Flavobacterium,suncheonense,350894,automatic
Flavonifractor,plautii,292800,automatic
Fluoribacter,dumoffii,463,automatic
Francisella,noatunensis,657445,manual
Francisella,philomiragia,28110,automatic
Francisella,tularensis,263,automatic
Franconibacter,helveticus,357240,automatic
Franconibacter,pulveris,435910,automatic
Fructobacillus,fructosus,1631,automatic
Fulvimarina,pelagi,217511,automatic
Fusobacterium,gonidiaformans,849,automatic
Fusobacterium,hwasookii,1583098,automatic
Fusobacterium,necrophorum,859,automatic
Fusobacterium,nucleatum,851,automatic
Fusobacterium,ulcerans,861,automatic
Gallibacterium,anatis,750,automatic
Gardnerella,vaginalis,2702,automatic
Gemella,sanguinis,84135,automatic
Geobacillus,caldoxylosilyticus,81408,automatic
Geobacillus,kaustophilus,1462,automatic
Geobacillus,stearothermophilus,1422,automatic
Geobacillus,thermodenitrificans,33940,automatic
Geobacillus,thermoglucosidasius,1426,automatic
Geobacillus,thermoleovorans,33941,automatic
Geobacillus,toebii,153151,automatic
Geobacter,metallireducens,28232,automatic
Geobacter,sulfurreducens,35554,automatic
Glaciecola,pallidula,56807,automatic
Gluconacetobacter,diazotrophicus,33996,automatic
Gluconobacter,albidus,318683,automatic
Gluconobacter,oxydans,442,automatic
Gluconobacter,thailandicus,257438,automatic
Glycomyces,tenuis,58116,automatic
Gordonia,alkanivorans,84096,automatic
Gordonia,amicalis,89053,automatic
Gordonia,hirsuta,53427,automatic
Gordonia,polyisoprenivorans,84595,automatic
Gordonia,sihwensis,173559,automatic
Gordonia,terrae,2055,automatic
Granulibacter,bethesdensis,364410,automatic
Granulicoccus,phenolivorans,266854,automatic
Grimontia,hollisae,673,automatic
Haemophilus,[Haemophilus] parasuis,738,automatic
Haemophilus,haemolyticus,726,automatic
Haemophilus,influenzae,727,automatic
Haemophilus,parahaemolyticus,735,automatic
Haemophilus,parainfluenzae,729,automatic
Haemophilus,sputorum,1078480,automatic
Hafnia,alvei,569,automatic
Halomonas,anticariensis,258591,automatic
Halomonas,huangheensis,1178482,automatic
Hamiltonella,defensa,138072,automatic
Helicobacter,ailurogastricus,1578720,automatic
Helicobacter,bilis,37372,automatic
Helicobacter,bizzozeronii,56877,automatic
Helicobacter,canadensis,123841,automatic
Helicobacter,cinaedi,213,automatic
Helicobacter,heilmannii,35817,automatic
Helicobacter,pullorum,35818,automatic
Helicobacter,pylori,210,automatic
Helicobacter,suis,104628,automatic
Helicobacter,trogontum,50960,automatic
Helicobacter,typhlonius,76936,automatic
Herbaspirillum,chlorophenolicum,211589,automatic
Herbaspirillum,rubrisubalbicans,80842,automatic
