id,ncbi_id,name,rank,parent_id,in_v12,manual_threshold,report,is_leaf
399,28261,Thermodesulfovibrio,genus,,true,NaN,true,false
400,198251,Candidatus Pelagibacter,genus,,true,NaN,true,false
401,1541743,Candidatus Ruthia,genus,,true,NaN,true,false
402,1647,Erysipelothrix,genus,,true,NaN,true,false
403,1654,Actinomyces,genus,,true,NaN,true,false
404,1525371,Neorhizobium,genus,,true,NaN,true,false
405,308865,Elizabethkingia,genus,,true,NaN,true,false
406,292486,Avibacterium,genus,,true,NaN,true,false
407,1678,Bifidobacterium,genus,,true,NaN,true,false
408,568987,Candidatus Hamiltonella,genus,,true,NaN,true,false
409,568988,Candidatus Regiella,genus,,true,NaN,true,false
410,1696,Brevibacterium,genus,,true,NaN,true,false
411,83618,Pseudoxanthomonas,genus,,true,NaN,true,false
412,448176,Granulicoccus,genus,,true,NaN,true,false
413,1716,Corynebacterium,genus,,true,NaN,true,false
414,249529,Caldanaerobacter,genus,,true,NaN,true,false
415,511678,Aliivibrio,genus,,true,NaN,true,false
416,261827,Algibacter,genus,,true,NaN,true,false
417,83654,Leclercia,genus,,true,NaN,true,false
418,1740,Thermodesulfobacterium,genus,,true,NaN,true,false
419,1743,Propionibacterium,genus,,true,NaN,true,false
420,1754,Thermoanaerobacter,genus,,true,NaN,true,false
421,83677,Thermobifida,genus,,true,NaN,true,false
422,1763,Mycobacterium,genus,,true,NaN,true,false
423,188143,Enterovibrio,genus,,true,NaN,true,false
424,2316020,Mediterraneibacter,genus,,true,NaN,true,false
425,265975,Oribacterium,genus,,true,NaN,true,false
426,1822464,Paraburkholderia,genus,,true,NaN,true,false
427,511745,Methylacidiphilum,genus,,true,NaN,true,false
428,1392389,Intestinimonas,genus,,true,NaN,true,false
429,1813,Amycolatopsis,genus,,true,NaN,true,false
430,1817,Nocardia,genus,,true,NaN,true,false
431,1827,Rhodococcus,genus,,true,NaN,true,false
432,28453,Sphingobacterium,genus,,true,NaN,true,false
433,55079,Aneurinibacillus,genus,,true,NaN,true,false
434,55080,Brevibacillus,genus,,true,NaN,true,false
435,1835,Saccharopolyspora,genus,,true,NaN,true,false
436,212791,Enhydrobacter,genus,,true,NaN,true,false
437,413496,Cronobacter,genus,,true,NaN,true,false
438,1851,Saccharomonospora,genus,,true,NaN,true,false
439,165695,Sphingobium,genus,,true,NaN,true,false
440,165696,Novosphingobium,genus,,true,NaN,true,false
441,165697,Sphingopyxis,genus,,true,NaN,true,false
442,104264,Cellulophaga,genus,,true,NaN,true,false
443,1883,Streptomyces,genus,,true,NaN,true,false
444,69474,Orientia,genus,,true,NaN,true,false
445,155493,Gallibacterium,genus,,true,NaN,true,false
446,364409,Granulibacter,genus,,true,NaN,true,false
447,214906,Histophilus,genus,,true,NaN,true,false
448,36739,Dermabacter,genus,,true,NaN,true,false
449,1486726,Pseudobacteroides,genus,,true,NaN,true,false
450,59282,Blastochloris,genus,,true,NaN,true,false
451,165779,Anaerococcus,genus,,true,NaN,true,false
452,577469,Demequina,genus,,true,NaN,true,false
453,2000,Streptosporangium,genus,,true,NaN,true,false
454,65496,Actinoalloteichus,genus,,true,NaN,true,false
455,2013,Nocardiopsis,genus,,true,NaN,true,false
456,2034,Curtobacterium,genus,,true,NaN,true,false
457,71666,Waddlia,genus,,true,NaN,true,false
458,36853,Desulfitobacterium,genus,,true,NaN,true,false
459,2038,Tropheryma,genus,,true,NaN,true,false
460,61434,Dehalococcoides,genus,,true,NaN,true,false
461,182269,Aurantimonas,genus,,true,NaN,true,false
462,53246,Pseudoalteromonas,genus,,true,NaN,true,false
463,39492,[Eubacterium] siraeum,species,0,true,NaN,true,true
1105,2051,Mobiluncus curtisii,species,1,true,NaN,true,true
1106,2052,Mobiluncus mulieris,species,1,true,NaN,true,true
947,173559,Gordonia sihwensis,species,2,true,NaN,true,true
1107,2055,Gordonia terrae,species,2,true,NaN,true,true
1145,84096,Gordonia alkanivorans,species,2,true,NaN,true,true
1199,84595,Gordonia polyisoprenivorans,species,2,true,NaN,true,true
1794,89053,Gordonia amicalis,species,2,true,NaN,true,true
540,277,Meiothermus ruber,species,3,true,NaN,true,true
1079,1894,Kitasatospora aureofaciens,species,4,true,NaN,true,true
1109,2066,Kitasatospora setae,species,4,true,NaN,true,true
467,24,Shewanella putrefaciens,species,5,true,NaN,true,true
1571,62322,Shewanella baltica,species,5,true,NaN,true,true
1635,38313,Shewanella algae,species,5,true,NaN,true,true
1852,56812,Shewanella frigidimarina,species,5,true,NaN,true,true
1118,444463,Sporolactobacillus vineae,species,6,true,NaN,true,true
1838,269673,Sporolactobacillus terrae,species,6,true,NaN,true,true
1110,231455,Dyella japonica,species,7,true,NaN,true,true
470,34,Myxococcus xanthus,species,8,true,NaN,true,true
471,41,Stigmatella aurantiaca,species,9,true,NaN,true,true
469,57372,Mycoplasma suis,species,10,true,NaN,true,true
1111,2094,Mycoplasma arginini,species,10,true,NaN,true,true
1112,2095,Mycoplasma capricolum,species,10,true,NaN,true,true
1113,2096,Mycoplasma gallisepticum,species,10,true,NaN,true,true
1114,2097,Mycoplasma genitalium,species,10,true,NaN,true,true
1115,2098,Mycoplasma hominis,species,10,true,NaN,true,true
1116,2099,Mycoplasma hyopneumoniae,species,10,true,NaN,true,true
1117,2100,Mycoplasma hyorhinis,species,10,true,NaN,true,true
1121,2102,Mycoplasma mycoides,species,10,true,NaN,true,true
1123,2105,Mycoplasma leachii,species,10,true,NaN,true,true
1124,2104,Mycoplasma pneumoniae,species,10,true,NaN,true,true
1125,2109,Mycoplasma synoviae,species,10,true,NaN,true,true
1128,2115,Mycoplasma fermentans,species,10,true,NaN,true,true
1129,2116,Mycoplasma iowae,species,10,true,NaN,true,true
1131,2122,Mycoplasma pirum,species,10,true,NaN,true,true
1132,2123,Mycoplasma putrefaciens,species,10,true,NaN,true,true
1133,2128,Mycoplasma flocculare,species,10,true,NaN,true,true
1148,51365,Mycoplasma yeatsii,species,10,true,NaN,true,true
1461,28903,Mycoplasma bovis,species,10,true,NaN,true,true
1560,29501,Mycoplasma haemofelis,species,10,true,NaN,true,true
1572,29555,Mycoplasma canis,species,10,true,NaN,true,true
1573,29559,Mycoplasma hyosynoviae,species,10,true,NaN,true,true
1575,29561,Mycoplasma meleagridis,species,10,true,NaN,true,true
1030,91844,Candidatus Portiera aleyrodidarum,species,11,true,NaN,true,true
1438,340021,Thalassobius mediterraneus,species,12,true,NaN,true,true
