id,base_threshold,final_threshold,coverage
1645,0.39486694,0.394866943359375,1.0
1064,0.96981037,0.9289806216955184,0.63718820861678
1066,0.305638,0.30563798546791077,1.0
1067,0.41243893,0.41243892908096313,1.0
1218,0.27227655,0.27227655053138733,1.0
1626,0.6577329,0.6577329039573669,1.0
1757,0.42290887,0.42290887236595154,1.0
527,0.6966828,0.6966828107833862,1.0
1724,0.30787182,0.30787181854248047,1.0
793,0.38576955,0.3857695460319519,1.0
898,0.54663444,0.5466344356536865,1.0
922,0.5870698,0.5870698094367981,1.0
1092,0.27225363,0.2722536325454712,1.0
1467,0.20707683,0.20707683265209198,1.0
1068,0.017096883,0.017096882686018944,1.0
1322,0.007974481,0.007974481210112572,1.0
1436,0.6025867,0.6025866866111755,1.0
586,0.004098791,0.004098791163414717,1.0
1289,0.034727145,0.03472714498639107,1.0
1360,0.4942568,0.49425679445266724,1.0
1403,0.5188687,0.5188686847686768,1.0
1404,0.0014008873,0.001400887267664075,1.0
1405,0.6,0.6,0.5
1406,0.40964514,0.409645140171051,1.0
468,0.274147,0.27414700388908386,1.0
1072,0.12717131,0.12717130780220032,1.0
1286,0.016791422,0.01679142192006111,1.0
1570,0.014117861,0.014117861166596413,1.0
1623,0.678462,0.678462028503418,1.0
1625,0.69946045,0.6994604468345642,1.0
1740,0.5504569,0.5504568815231323,1.0
767,0.001866368,0.0018663679948076606,1.0
1021,0.009897759,0.009897759184241295,1.0
1883,0.0014702555,0.0014702555490657687,1.0
543,0.026997041,0.026997040957212448,1.0
544,0.6573143,0.6573143005371094,1.0
754,0.18794736,0.1879473626613617,1.0
1228,0.5069611,0.5069611072540283,1.0
786,0.15067504,0.15067504346370697,1.0
827,0.45379245,0.4537924528121948,1.0
831,0.0010332358,0.0010332358069717884,1.0
870,0.021453392,0.021453391760587692,1.0
918,0.020603938,0.020603938028216362,1.0
1033,0.0016520733,0.001652073347941041,1.0
1040,0.021655144,0.021655144169926643,1.0
1061,0.2,0.2,0.52
1062,0.01082578,0.010825780220329762,1.0
