uid,refseq_acc,primary_taxid,species_taxid,use
9299461,GCF_016907925.1,2029754,2029754,True
9299471,GCF_016907955.1,1128665,1128665,True
9299481,GCF_016907975.1,61654,61654,False
9299501,GCF_016908015.1,46609,46609,True
9299551,GCF_016908115.1,411567,411567,True
9299581,GCF_016908145.1,570855,570855,True
9299591,GCF_016908195.1,587735,587735,True
9299621,GCF_016908255.1,742054,742054,True
9299631,GCF_016908275.1,504936,504936,True
9299641,GCF_016908295.1,748008,748008,True
9299651,GCF_016908315.1,706427,706427,True
9299661,GCF_016908325.1,1168171,1168171,True
9299671,GCF_016908355.1,1008308,1008308,True
9299681,GCF_016908375.1,767787,767787,True
9299691,GCF_016908395.1,929098,929098,True
9299701,GCF_016908415.1,1170224,1170224,True
9299741,GCF_016908495.1,992288,992288,True
9299751,GCF_016908515.1,1071053,1071053,True
9299761,GCF_016908525.1,1125967,1125967,True
9299771,GCF_016908565.1,1463404,1463404,False
9299781,GCF_016908555.1,1482730,1482730,True
9299791,GCF_016908595.1,1347788,1347788,True
9299811,GCF_016908635.1,1494606,1494606,False
9299821,GCF_016908645.1,1349415,1349415,True
9299831,GCF_016908655.1,1349416,1349416,True
9299851,GCF_016908715.1,1406906,1406906,True
9299891,GCF_016908785.1,1479233,1479233,True
9299921,GCF_016908855.1,1469162,1469162,True
9299941,GCF_016908875.1,1494429,1494429,True
9299961,GCF_016908935.1,1465502,1465502,False
9299971,GCF_016908955.1,1808955,1808955,True
9300001,GCF_016909015.1,1401441,1401441,False
9300021,GCF_016909075.1,2291674,2291674,True
9300061,GCF_016909125.1,1159752,1159752,False
9300071,GCF_016909155.1,1441723,1441723,False
9300091,GCF_016909185.1,1245522,1245522,False
9300241,GCF_016909495.1,1465635,1465635,False
930061,GCF_001912155.1,1718,1718,True
9303801,GCF_016916665.1,94138,94138,True
9303901,GCF_016916835.1,1436133,1436133,True
930541,GCF_001913155.1,1836467,1836467,True
9306601,GCF_016918095.1,363630,363630,True
9306741,GCF_016918505.1,40414,40414,True
9306761,GCF_016918545.1,869814,869814,True
9306771,GCF_016918565.1,453220,453220,True
9306921,GCF_016918855.1,2784346,2784346,True
9306991,GCF_016919005.1,468528,468528,True
9307021,GCF_016919065.1,34032,34032,True
9307111,GCF_016919245.1,1818004,1818004,True
9307161,GCF_016919345.1,98668,98668,True
9307221,GCF_016919465.1,57704,57704,True
9307321,GCF_016919645.1,39687,39687,True
9308361,GCF_016921115.1,1885,1885,False
9310191,GCF_016924775.1,92404,92404,False
93101,GCF_000520715.1,1333860,369399,True
9310581,GCF_016925535.1,2811108,2811108,True
93111,GCF_000520735.1,1333861,365616,True
93151,GCF_000520815.1,1155954,1155954,True
9316651,GCF_016937515.1,2044859,2044859,False
9316671,GCF_016937555.1,2813360,2813360,True
9316721,GCF_016937655.1,1071719,1071719,True
9317611,GCF_016939435.1,153151,153151,True
9317631,GCF_016939475.1,471,471,True
93241,GCF_000520955.1,1296415,1296415,True
93251,GCF_000520975.1,1296416,1443666,True
93261,GCF_000520995.1,1443665,666563,True
93301,GCF_000189755.2,696369,1565,True
93321,GCF_000235425.2,298655,298655,True
93331,GCF_000242615.2,903818,35839,True
934561,GCF_001921205.1,1912961,1912961,True
934571,GCF_001921215.1,485602,485602,True
934881,GCF_001921845.1,1432788,1432788,True
934971,GCF_001922025.1,152331,152331,True
935111,GCF_001922305.1,96773,96773,True
935151,GCF_001922385.1,93064,93064,True
935161,GCF_001922405.1,70255,70255,True
935451,GCF_001922985.1,1500538,1500538,True
93571,GCF_000521485.1,1298598,307521,True
93581,GCF_000521505.1,1247726,302406,True
93671,GCF_000521695.1,1434214,85404,True
93681,GCF_000521725.1,1263829,47735,True
9369371,GCF_017051665.1,707589,707589,True
9369381,GCF_017051695.1,1634955,1634955,True
9369391,GCF_017051705.1,613197,613197,True
9369641,GCF_017052465.1,1677,1677,True
9369721,GCF_017052595.1,568784,568784,True
9369731,GCF_017052585.1,46240,46240,False
9369741,GCF_017052655.1,555393,555393,True
93711,GCF_000521785.1,1449350,93683,True
93721,GCF_000521805.1,1122207,263818,True
93751,GCF_000521865.1,1449351,591206,True
937601,GCF_001927245.1,1443441,1443441,True
937621,GCF_001927285.1,1709001,1709001,False
9377501,GCF_017068355.1,1151742,1151742,True
9377511,GCF_017068375.1,99653,99653,True
939721,GCF_001931505.1,1882918,1882918,False
939731,GCF_001931535.1,888845,888845,True
939791,GCF_001931655.1,119978,119978,False
939821,GCF_001931685.1,1856850,1856850,False
9400801,GCF_017114825.1,1628277,1628277,False
9400821,GCF_017114865.1,1695161,1695161,True
9401841,GCF_017116825.1,2499220,2499220,False
940261,GCF_001932615.1,1631871,1631871,True
9404291,GCF_015689195.1,1201031,1201031,False
9404371,GCF_015689455.1,40041,1336,True
9404381,GCF_015689475.1,1929477,1929477,True
940621,GCF_900128445.1,1852386,1852386,False
940631,GCF_900128505.1,1871013,1871013,True
940641,GCF_900130135.1,1917883,1917883,False
9428541,GCF_017161305.1,744515,744515,True
9428571,GCF_017161365.1,2006,2006,True
9429071,GCF_017161425.1,2029849,2029849,True
9429081,GCF_017161445.1,2811415,2811415,True
9431181,GCF_017165745.1,2810614,2810614,False
94311,GCF_000522985.1,861299,861299,True
9431791,GCF_017167025.1,549687,549687,True
9431971,GCF_017167395.1,272241,272241,True
9432251,GCF_017167965.1,2565368,2565368,True
9432261,GCF_017167985.1,554344,554344,True
943691,GCF_001936115.1,156892,156892,True
943721,GCF_001936175.1,418223,418223,True
943761,GCF_001936255.1,1365188,143,True
943781,GCF_001936295.1,1674146,1674146,True
943801,GCF_001936335.1,1423721,1603,True
943871,GCF_001936475.1,1925762,1925762,True
943911,GCF_001936575.1,1908389,1908389,True
943941,GCF_001936615.1,1888891,1888891,True
943951,GCF_001936625.1,1714264,1714264,True
944211,GCF_001937175.1,223900,223900,False
94441,GCF_000388175.3,1321371,1169117,False
94451,GCF_000469665.2,1399147,49893,False
945131,GCF_001938935.1,464029,464029,True
945151,GCF_001938985.1,887144,887144,True
945171,GCF_001939045.1,1867956,1867956,False
945181,GCF_001939065.1,1358421,296995,True
945201,GCF_001939075.1,650093,650093,True
945251,GCF_001660705.2,1849719,1849719,True
945261,GCF_001659685.2,1477105,1477105,True
94531,GCF_000523535.1,1432657,40834,False
945551,GCF_001939725.1,1381081,1381081,True
945561,GCF_001939735.1,1903952,1903952,True
945681,GCF_001940005.1,1297617,1297617,True
945801,GCF_001940235.1,2652292,2652292,True
945821,GCF_001940285.1,1261639,1261639,False
945911,GCF_001940455.1,1193682,1193682,True
945961,GCF_001940565.1,1123403,79681,True
946361,GCF_001941345.1,1705,1705,True
946381,GCF_001941385.1,46541,46541,True
946411,GCF_001941445.1,1431546,203263,True
946421,GCF_001941465.1,28028,28028,True
946431,GCF_001941485.1,1437875,1230998,True
946441,GCF_001941505.1,1437874,191493,True
946471,GCF_001941565.1,161895,161895,True
946501,GCF_001941625.1,1612552,1612552,True
946531,GCF_001941685.1,1898042,1898042,True
946601,GCF_001941825.1,1141883,1141883,True
946661,GCF_001941945.1,257708,257708,True
9468371,GCF_017254835.1,1852016,1852016,True
9468391,GCF_017254845.1,2811234,2811234,True
9468401,GCF_017254865.1,751969,751969,True
9468411,GCF_017254915.1,2811231,2811231,True
9468481,GCF_017255165.1,262077,262077,True
9468521,GCF_017255295.1,889300,889300,False
9468561,GCF_017255415.1,33953,33953,False
946981,GCF_001942495.1,568701,207920,False
947041,GCF_001942625.1,1908205,1908205,False
948501,GCF_001945525.1,1862668,1862668,True
948531,GCF_001945605.1,1862672,1862672,True
9495231,GCF_017301615.1,2751313,2751313,True
9498011,GCF_017301775.1,487909,343,True
9499861,GCF_017302975.1,83462,83462,True
9499931,GCF_017303155.1,187980,187980,False
9499981,GCF_017303255.1,86664,86664,True
9502951,GCF_017309175.1,344736,344736,True
9503071,GCF_017309445.1,756892,756892,True
9503141,GCF_017309605.1,300181,300181,True
9503481,GCF_017309995.1,200618,200618,True
9503491,GCF_017310015.1,48076,48076,True
9503591,GCF_017310215.1,644,644,True
9504131,GCF_017311475.1,1193620,1193620,True
9504151,GCF_017311525.1,455361,455361,True
9504171,GCF_017311575.1,35813,35813,False
9504851,GCF_017312725.1,2807577,2807577,True
9505251,GCF_017313335.1,1759528,1759527,False
9506611,GCF_017315755.1,163361,163361,False
9506701,GCF_017315965.1,2738,2738,True
9506821,GCF_017316205.1,2559929,2559929,True
95071,GCF_000524475.1,1448389,630403,True
950741,GCF_001949645.1,42234,42234,False
95081,GCF_000524555.1,743966,45362,True
951021,GCF_001950255.1,870242,870242,True
951041,GCF_001950325.1,661089,661089,False
9513491,GCF_017329545.1,320778,320778,True
951461,GCF_001951095.1,137591,137591,True
951491,GCF_001951155.1,1229726,1486245,True
951501,GCF_001951175.1,392416,392416,True
951591,GCF_900094555.1,52131,52131,True
951601,GCF_900155365.1,1907654,1907654,True
951621,GCF_900155395.1,1871030,1871030,True
951631,GCF_900155385.1,1816686,1816686,True
951641,GCF_900155425.1,1750560,1750560,False
951651,GCF_900155435.1,1720198,1720198,True
951681,GCF_001951355.1,743968,29562,True
952061,GCF_001904615.1,454133,71188,False
952091,GCF_001952065.1,1686310,1686310,True
9521381,GCF_017347565.1,1775910,1775910,True
9522601,GCF_017348895.1,94869,94869,True
9522701,GCF_017349075.1,2816232,2816232,False
9522831,GCF_017349295.1,1230528,1230528,True
9522841,GCF_017349355.1,111770,111770,True
952371,GCF_001659785.1,499555,499555,True
9524241,GCF_017352135.1,1138194,1138194,True
9524291,GCF_017352235.1,738,738,True
9524341,GCF_017352335.1,40318,40318,True
9525011,GCF_017353455.1,887464,887464,False
9525941,GCF_016613475.2,2795387,2795387,True
9526171,GCF_017355935.1,1720261,1720261,True
9526201,GCF_017355985.1,2812559,2812559,False
