db_id,ncbi_id,name,nspecies,ngenomes
400,198251,Candidatus Pelagibacter,1,5
401,1541743,Candidatus Ruthia,1,2
402,1647,Erysipelothrix,1,4
403,1654,Actinomyces,5,10
404,1525371,Neorhizobium,1,10
405,308865,Elizabethkingia,2,23
406,292486,Avibacterium,1,5
407,1678,Bifidobacterium,36,240
408,568987,Candidatus Hamiltonella,1,3
409,568988,Candidatus Regiella,1,2
410,1696,Brevibacterium,2,4
411,83618,Pseudoxanthomonas,1,3
412,448176,Granulicoccus,1,2
413,1716,Corynebacterium,26,159
414,249529,Caldanaerobacter,1,3
415,511678,Aliivibrio,2,11
416,261827,Algibacter,1,2
417,83654,Leclercia,1,3
418,1740,Thermodesulfobacterium,1,2
419,1743,Propionibacterium,2,25
420,1754,Thermoanaerobacter,2,4
421,83677,Thermobifida,1,3
422,1763,Mycobacterium,13,3707
423,188143,Enterovibrio,2,6
424,2316020,Mediterraneibacter,2,5
425,265975,Oribacterium,1,2
426,1822464,Paraburkholderia,6,13
427,511745,Methylacidiphilum,1,2
428,1392389,Intestinimonas,1,2
429,1813,Amycolatopsis,4,12
430,1817,Nocardia,8,19
431,1827,Rhodococcus,6,43
432,28453,Sphingobacterium,1,2
433,55079,Aneurinibacillus,1,5
434,55080,Brevibacillus,5,14
435,1835,Saccharopolyspora,2,5
436,212791,Enhydrobacter,1,2
437,413496,Cronobacter,7,73
438,1851,Saccharomonospora,2,4
439,165695,Sphingobium,5,15
440,165696,Novosphingobium,3,6
441,165697,Sphingopyxis,2,4
442,104264,Cellulophaga,2,6
443,1883,Streptomyces,39,143
444,69474,Orientia,1,8
445,155493,Gallibacterium,1,22
446,364409,Granulibacter,1,4
447,214906,Histophilus,1,2
448,36739,Dermabacter,1,2
449,1486726,Pseudobacteroides,1,2
450,59282,Blastochloris,1,3
451,165779,Anaerococcus,3,6
452,577469,Demequina,2,6
453,2000,Streptosporangium,1,2
454,65496,Actinoalloteichus,1,3
455,2013,Nocardiopsis,2,4
456,2034,Curtobacterium,2,4
457,71666,Waddlia,1,2
458,36853,Desulfitobacterium,1,6
459,2038,Tropheryma,1,19
460,61434,Dehalococcoides,1,17
461,182269,Aurantimonas,2,4
462,53246,Pseudoalteromonas,4,19
