accession,species_v11_idx1,species_v12_idx1
GCF_000145075.1,1029,1104
GCF_000145095.1,1025,1103
GCF_000145115.1,1025,1103
GCF_000145135.1,1025,1103
GCF_000145155.1,1025,1103
GCF_000145175.1,1025,1103
GCF_000145195.1,1025,1103
GCF_000145335.1,1025,1103
GCF_000145355.1,1025,1103
GCF_000145375.1,1025,1103
GCF_000145415.1,1029,1104
GCF_000145435.1,1025,1103
GCF_000145455.1,1025,1103
GCF_000145475.1,1025,1103
GCF_000145495.1,1025,1103
GCF_000145515.1,1025,1103
GCF_000145535.1,1025,1103
GCF_000145555.1,1025,1103
GCF_000145575.1,1025,1103
GCF_000145595.1,1205,922
GCF_000145615.1,1331,141
GCF_000145685.1,1047,206
GCF_000145705.1,849,29
GCF_000145865.1,1072,184
GCF_000145925.1,1072,184
GCF_000145945.1,1047,206
GCF_000146285.1,797,2
GCF_000146325.1,951,906
GCF_000146385.1,1205,922
GCF_000146405.1,1248,972
GCF_000146485.1,372,1276
GCF_000146505.1,497,649
GCF_000146525.1,1237,1000
GCF_000146565.1,152,1062
GCF_000146655.1,869,359
GCF_000146675.1,1007,662
GCF_000146715.1,1253,983
GCF_000146735.1,489,424
GCF_000146775.1,215,1231
GCF_000146835.1,309,114
GCF_000146895.1,798,3
GCF_000146975.1,1250,982
GCF_000147055.1,425,943
GCF_000147075.1,1198,80
GCF_000147095.1,1250,982
GCF_000147145.1,1025,1103
GCF_000147215.1,462,1016
GCF_000147235.1,463,1017
GCF_000147255.1,462,1016
GCF_000147275.1,462,1016
GCF_000147295.1,462,1016
GCF_000147315.1,463,1017
GCF_000147455.1,462,1016
GCF_000147475.1,462,1016
GCF_000147495.1,462,1016
GCF_000147515.1,462,1016
GCF_000147535.1,462,1016
GCF_000147555.1,462,1016
GCF_000147575.1,462,1016
GCF_000147595.1,462,1016
GCF_000147735.2,1169,14
GCF_000147755.1,489,424
GCF_000147775.2,1181,1123
GCF_000147795.2,1181,1123
GCF_000147835.2,1189,1362
GCF_000147855.2,489,424
GCF_000147905.1,462,1016
GCF_000147925.1,462,1016
GCF_000147985.1,462,1016
GCF_000148005.1,462,1016
GCF_000148025.1,463,1017
GCF_000148045.1,462,1016
GCF_000148065.1,462,1016
GCF_000148085.1,462,1016
GCF_000148105.1,462,1016
GCF_000148125.1,462,1016
GCF_000148145.1,463,1017
GCF_000148165.1,462,1016
GCF_000148185.1,462,1016
GCF_000148205.1,462,1016
GCF_000148225.1,462,1016
GCF_000148245.1,462,1016
GCF_000148265.1,462,1016
GCF_000148285.1,463,1017
GCF_000148305.1,462,1016
GCF_000148325.1,463,1017
GCF_000148365.1,489,424
GCF_000148405.1,1421,228
GCF_000148445.1,462,1016
GCF_000148465.1,1276,1387
GCF_000148485.1,798,3
GCF_000148565.1,1245,974
GCF_000148605.1,489,424
GCF_000148625.1,842,34
GCF_000148665.1,564,127
GCF_000148705.1,315,116
GCF_000148745.1,1044,178
GCF_000148815.2,684,738
GCF_000148855.1,564,127
GCF_000148875.1,564,127
GCF_000148895.1,564,127
GCF_000148915.1,564,127
GCF_000148995.1,755,1199
GCF_000149015.1,1205,922
GCF_000149065.1,654,1160
GCF_000149085.1,654,1160
GCF_000149105.1,654,1160
GCF_000149125.1,654,1160
GCF_000149145.1,654,1160
